city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1,128,3,3,2,10,acept,not furnished,"2,600","3,800",605,49,"7,054"
1,140,3,2,2,2,acept,not furnished,"1,480","3,700",167,47,"5,394"
1,180,3,3,4,27,acept,not furnished,"2,000","7,000",859,89,"9,948"
1,280,4,4,5,9,acept,not furnished,"3,000","3,200",875,41,"7,116"
1,420,4,6,4,8,acept,not furnished,"3,500","15,000","2,250",191,"20,940"
1,48,1,1,1,8,acept,furnished,740,"2,700",137,35,"3,612"
1,148,3,2,2,2,not acept,furnished,"2,830","9,000",267,115,"12,210"
1,75,2,1,1,5,not acept,not furnished,748,"2,000",0,26,"2,774"
1,44,1,1,0,1,not acept,not furnished,417,"3,016",0,12,"3,445"
1,35,1,1,0,-,acept,not furnished,0,"1,100",30,14,"1,144"
1,320,4,2,2,-,acept,furnished,0,"8,000",642,121,"8,763"
0,98,3,2,1,1,acept,not furnished,727,"1,233",84,16,"2,060"
0,51,1,1,0,12,not acept,furnished,707,"1,300",45,17,"2,069"
1,322,4,5,5,17,acept,furnished,"2,700","15,000","1,875",191,"19,770"
1,187,4,5,3,5,acept,not furnished,"3,912","5,300","1,424",68,"10,700"
1,62,3,2,1,6,not acept,furnished,"1,550","4,800",167,61,"6,578"
1,130,2,2,1,-,acept,not furnished,"1,100","4,300",100,55,"5,555"
0,600,4,6,3,-,acept,not furnished,"1,123","5,500",819,83,"7,525"
1,520,3,4,2,-,acept,not furnished,0,"9,000","1,500",136,"10,640"
1,86,1,2,1,13,acept,furnished,"1,800","6,500",375,83,"8,758"
1,72,2,2,1,6,acept,not furnished,"1,100","5,431",334,69,"6,934"
1,550,4,4,4,-,acept,not furnished,0,"14,000","1,334",211,"15,550"
1,50,1,1,0,-,not acept,not furnished,0,"1,220",0,19,"1,239"
1,298,5,3,3,-,acept,not furnished,0,"8,000","1,384",121,"9,505"
0,74,3,2,1,10,acept,not furnished,700,"1,800",120,23,"2,643"
1,41,1,1,0,17,acept,furnished,450,"2,470",0,32,"2,952"
